product_id,name,categories,price,packing,image
301075041,EDEKA Bio Camembert 60% Fett i.Tr.,Kühlregal,1.99,150g Packung,//assets.bringmeister.de/media/p/301075041/0/5f2f739f2627624462e8fa01c2fecd20.jpg
8671240001,Schweppes American Ginger Ale,Getränke,1.99,1.25l Flasche,//assets.bringmeister.de/media/p/8671240001/0/4057538979cf1617bacf92c5f9c7e2d8.jpg
31200380071,Notte Rossa Bio Primitivo Puglia IGP,"Wein, Sekt & Spirituosen",5.85,750ml Stück,//assets.bringmeister.de/media/p/31200380071/0/e044829fd18c2ec0ab68ff7eb8b32128.jpg
45011790051,EDEKA Bio My Veggie Chiasamen,Cerealien & Müsli,1.99,300g Packung,//assets.bringmeister.de/media/p/45011790051/0/4b41c502a799982e0e2266ce68c85bb1.jpg
12698880021,Popp Meistersalat Feinster Fleischsalat,Kühlregal,1.99,200g Becher,//assets.bringmeister.de/media/p/12698880021/0/c2f4cf4b00568405a8c239b8025ff797.jpg
11435120071,"Andechser Natur Bio Jogurt mild Mango-Vanille 3,7 % Fett",Kühlregal,1.95,400g Becher,//assets.bringmeister.de/media/p/11435120071/0/c987ac95551ba6d69ae3502f35bad87e.jpg
51110020001,GUT&GÜNSTIG Chicken Burger Patties,Tiefkühlkost,3.29,400g Packung,//assets.bringmeister.de/media/p/51110020001/0/9140b95430676ba56d0afb2e82e018d2.jpg
5908170081,GAZi Halloumi Natur mind. 43 % Fett i. Tr.,Kühlregal,4.99,250g Packung,//assets.bringmeister.de/media/p/5908170081/0/8c0585f84ba9356a998617014b01f31f.jpg
38832220041,EDEKA Bio Tomatensaft,Getränke,1.89,1l Packung,//assets.bringmeister.de/media/p/38832220041/0/d5d90afcf71d506dc823d976d42e64ba.jpg
8410890061,Conditorei Coppenrath & Wiese Cafeteria fein & sahnig Donauwelle,Tiefkühlkost,5.89,550g Packung,//assets.bringmeister.de/media/p/8410890061/0/cdec77dfb59aef107a011f13afbc51ac.jpg
33220880061,Weihenstephan Die Streichzarte ungesalzen,Kühlregal,2.65,250g Becher,//assets.bringmeister.de/media/p/33220880061/0/5580a7f15ac64b1ec17824da58e7db18.jpg
5976090001,Milka Luflée Alpenmilch,Süßigkeiten & Salziges,1.35,100g Tafel,//assets.bringmeister.de/media/p/5976090001/0/41f390225eed603dad03264c38600817.jpg
50634200061,GUT&GÜNSTIG Getrocknete Tomaten,Kühlregal,1.89,150g Packung,//assets.bringmeister.de/media/p/50634200061/0/bff69d8b925f5175765bb19aae5158fc.jpg
395226521,Dewi Kirschstreuselkuchen,"Brot, Backwaren & Brotaufstriche",2.79,270g Packung,//assets.bringmeister.de/media/p/395226521/0/3a25aab89aca06028e132195e41d6e70.jpg
3456540011,Harry Das Volle Korn Katen,"Brot, Backwaren & Brotaufstriche",1.89,500g Packung,//assets.bringmeister.de/media/p/3456540011/0/538d731a0cbb64c7ede7a25940b498f7.jpg
47276560071,EDEKA Bio Frische Buttermilch,Kühlregal,0.89,500g Becher,//assets.bringmeister.de/media/p/47276560071/0/4096720b9fe2df9f0bdbc92780027742.jpg
39659230011,Alnatura Bio Sauerkirschen,Tiefkühlkost,3.55,300g Packung,//assets.bringmeister.de/media/p/39659230011/0/474f647ba4a65d9e60c6d88775037ada.jpg
53298860091,Vernel Aroma-Therapie Zauberhafte Malediven 32WL,Drogerieartikel,2.29,800ml Packung,//assets.bringmeister.de/media/p/53298860091/0/f704dd04938fb9e425bbf979d2cc2017.jpg
49778070061,Harry Vital + Dinkel Vollkorn Schnitte,"Brot, Backwaren & Brotaufstriche",1.99,300g Packung,//assets.bringmeister.de/media/p/49778070061/0/87c61a7ab52b3d05b689f0c9e0adeb6c.jpg
49628580022,EDEKA Milder Apfelsaft,Getränke,1.99,4 x 330ml Flasche / Packung,//assets.bringmeister.de/media/p/49628580022/0/958939463ded8281bd3abbaa1e4722f3.jpg
301089021,GUT&GÜNSTIG Bami Goreng,Tiefkühlkost,3.39,750g Packung,//assets.bringmeister.de/media/p/40886170041/0/6beb2f278de8e651122e175db419aa6c.jpg
52118660051,Ritter SPORT Nugat Tafel,Süßigkeiten & Salziges,1.49,100g Packung,//assets.bringmeister.de/media/p/52118660051/0/83b0be6a2c9d23a162f92b6f80e2decd.jpg
15195330071,iglo MSC Fischstäbchen,Tiefkühlkost,4.49,450g Packung,//assets.bringmeister.de/media/p/15195330071/0/ef5b4b3f7f43cad9d67cfdf6c7d67563.jpg
15855770041,"Lobetaler Bio Fruchtjoghurt mild Mango Vanille 3,7 % Fett",Kühlregal,0.75,150g Becher,//assets.bringmeister.de/media/p/15855770041/0/06802a394e0051fa4bd7e971d4889a97.jpg
33807810041,Original Wagner Steinofen Salami,Tiefkühlkost,3.49,320g Packung,//assets.bringmeister.de/media/p/33807810041/0/25c773843d53a2b748793ecc4e9f92ac.jpg
12120670072,Berliner Kindl Jubiläums Pilsener Premium,Getränke,27.96,24 x 500ml Dose / Packung,//assets.bringmeister.de/media/p/12120670072/0/b8cfdd56a5b5a84ecb2be106eec5d9a0.jpg
1287300011,Birkel No.1 Schwäbische Spätzle,Nahrungsmittel,2.29,500g Packung,//assets.bringmeister.de/media/p/1287300011/0/30ffd3a1aa84b1bd0ff951d95e3030cb.jpg
1692390041,Popp MSC Brotaufstrich Alaska-Seelachs,Kühlregal,1.89,150g Becher,//assets.bringmeister.de/media/p/1692390041/0/de7c89995a9525866f1975fcaf7371e2.jpg
43705340061,Aperol Aperitivo Italiano 11 % vol.,"Wein, Sekt & Spirituosen",12.95,700ml Flasche,//assets.bringmeister.de/media/p/43705340061/0/b4eb7f6bf4288861cbfd6e7bfb2ac830.jpg
52117930081,Ritter SPORT Alpenmilch Tafel,Süßigkeiten & Salziges,1.49,100g Packung,//assets.bringmeister.de/media/p/52117930081/0/e84ff0d085c5bf1546e3b1815213619c.jpg
12255180061,EDEKA Bio Frankendammer in Scheiben 45% Fett i. Tr.,Kühlregal,2.25,200g Packung,//assets.bringmeister.de/media/p/12255180061/0/745f099fa5ca353726b974ab4e61fba7.jpg
2007260031,geti wilba Hühnerfrikassee,Tiefkühlkost,3.59,450g Packung,//assets.bringmeister.de/media/p/2007260031/0/5d10229b72757ba0f982166bb3d9a59b.jpg
301116171,GUT&GÜNSTIG Putenbrustfilet,Frischetheke,9.65,1kg Stück,//assets.bringmeister.de/media/p/35931610001/0/ac57a7d1eeda03ea986d88e7acaa51fb.jpg
36064610021,alpro Soja-Joghurtalternative Mehr Frucht ohne Zuckerzusatz Mango,Kühlregal,2.09,400g Becher,//assets.bringmeister.de/media/p/36064610021/0/aeaafd89db62329fcf0a93748e667109.jpg
1216860041,Coppenrath Feingebäck Wiener Sandringe,Süßigkeiten & Salziges,1.99,200g Packung,//assets.bringmeister.de/media/p/1216860041/0/8adb5d95c1fb8eafd4d67309a04b46cf.jpg
34423060041,Wiltmann Bio Hähnchenbrustfilet,Kühlregal,2.79,50g Packung,//assets.bringmeister.de/media/p/34423060041/0/03f13c429d94da2b79e038bb3cde732f.jpg
20916460021,"7gün Ayran Kirsch 3,5 % Fett",Kühlregal,0.89,250ml Becher,//assets.bringmeister.de/media/p/20916460021/0/fbb18e9b377d0e98772382f79ed9eea2.jpg
1701590091,Leckermäulchen Milch-Quark Vanillegeschmack,Kühlregal,1.15,150g Becher,//assets.bringmeister.de/media/p/1701590091/0/6a780ed00a830d1921ec8338a1742753.jpg
44621780081,Pril Original,Drogerieartikel,1.85,0.675l Flasche,//assets.bringmeister.de/media/p/44621780081/0/0c2c7604a40ba2013ed1752d45e7f270.jpg
12090540052,Spreequell Naturell 500ml Einweg,Getränke,3.29,6 x 500ml Flasche / Packung,//assets.bringmeister.de/media/p/12090540052/0/6b3db305beac1f17f2617573b3793c16.jpg
1317170041,Dr.Oetker Vanillin-Zucker,Nahrungsmittel,1.29,80g Packung,//assets.bringmeister.de/media/p/1317170041/0/cace325026bfb9185fa53547d8292a50.jpg
1288530031,Barilla Spaghetti N°5,Nahrungsmittel,2.25,500g Packung,//assets.bringmeister.de/media/p/1288530031/0/e332db4caa9e598030129be260389314.jpg
37205420051,Alnatura Bio Griechischer Ziegenkäse 43 % Fett i. Tr.,Kühlregal,4.65,180g Packung,//assets.bringmeister.de/media/p/37205420051/0/3c7c140af34ec9ab5912c14ff0371eed.jpg
1440710011,Rügen Fisch Heringsfilets in Tomaten Creme,Nahrungsmittel,1.99,200g Dose,//assets.bringmeister.de/media/p/1440710011/0/443b2617fce82e01ed2becfa52eec771.jpg
50996700081,Zewa Ultra Soft Toilettenpapier Limited Edition 4-lagig,Drogerieartikel,5.15,8er Packung,//assets.bringmeister.de/media/p/50996700081/0/af6b1875cdb7c2767d41050b0f28863b.jpg
301018151,G&G Teewurst fein,Kühlregal,1.29,125g Stück,//assets.bringmeister.de/media/p/1461950021/0/1058ecc023f804c7523621c2db09d353.jpg
32682050061,Alnatura Bio Früchte Müsli,Cerealien & Müsli,3.59,750g Packung,//assets.bringmeister.de/media/p/32682050061/0/caae102d93a7aff81910b9ba7886538b.jpg
301022021,GUT&GÜNSTIG Frühstücksbrötchen,"Brot, Backwaren & Brotaufstriche",0.75,300g Stück,//assets.bringmeister.de/media/p/5837490081/0/b5ee150fffed6491c83b9eacca5f24fa.jpg
40465200071,Bonduelle Goldmais,Nahrungsmittel,1.69,300g Dose,//assets.bringmeister.de/media/p/40465200071/0/eaade4926032b1262d545211f0cad1e2.jpg
48705670011,Bio Gouda 55 % Fett i. Tr.,Frischetheke,4.01,ca. 175g Stück,//assets.bringmeister.de/media/p/48705670011/0/48ff10a2dbb2b32dd41d15201648cbe8.jpg
53891560071,HARIBO Primavera Erdbeeren,Süßigkeiten & Salziges,1.19,175g Packung,//assets.bringmeister.de/media/p/53891560071/0/aa976f0d3617a5d62fd593deda5acc90.jpg
36303190051,Tempo Verwöhnmoment Calendula&Kamille feuchtes Toilettenpapier,Drogerieartikel,1.99,42er Packung,//assets.bringmeister.de/media/p/36303190051/0/2ec03e2c19301506a850b52cca507730.jpg
31169680001,nimm2 Lachgummi Softies Rote Früchte,Süßigkeiten & Salziges,1.29,225g Packung,//assets.bringmeister.de/media/p/31169680001/0/530595c008d7d12aeeccdee706db9593.jpg
20566960041,EDEKA Bio Reiswaffeln natur,"Brot, Backwaren & Brotaufstriche",0.79,100g Stück,//assets.bringmeister.de/media/p/20566960041/0/22c31a313255b2501d7f94b7c6f37733.jpg
1966230071,ODERfrucht Hefeklöße,Tiefkühlkost,1.69,450g Packung,//assets.bringmeister.de/media/p/1966230071/0/bffedfc6ea7d81ba531735c9d42d4a84.jpg
1291980061,Miracel Whip Original,Nahrungsmittel,2.65,500ml Glas,//assets.bringmeister.de/media/p/1291980061/0/70582ead8a4e0d680a0dc23c9fc51659.jpg
395012591,Kiwis,Obst & Gemüse,0.49,Stück,//assets.bringmeister.de/media/p/395012591/0/a23adc2490d3038ec582d95e9aa061c9.jpg
395026031,Staudensellerie,Obst & Gemüse,1.49,Stück,//assets.bringmeister.de/media/p/395026031/0/c75ea54a018cf70379e331aef58754f1.jpg
